band,site
Accept,http://www.acceptworldwide.com/
AC_DC,http://acdc.com/
Acid_Bath,http://www.acid-bath.com/
Agnostic_Front,http://www.agnosticfront.com/
Alice_Cooper,http://alicecooper.com/
Alice_In_Chains,http://aliceinchains.com/
Anata,http://www.anata.se
Annihilator,http://www.annihilatormetal.com/
Anthrax,http://anthrax.com/
Anti-Flag,http://www.anti-flag.com/news/
Anvil,http://my.tbaytel.net/tgallo/anvil/
Atheist,http://www.atheistmusic.com/
Bad_Religion,http://www.badreligion.com/
Bathory,http://www.bathory.nu/
Black_Flag,http://blackflagofficial.com/
Black_Sabbath,http://www.blacksabbath.com/
The_Berzerker,http://www.theberzerker.com/
Boris,http://www.borisheavyrocks.com
Brujeria,http://www.brujeria.com/
Brutal_Truth,http://www.brutaltruth.com/
Burzum,http://burzum.org/
Candlemass,http://www.candlemass.se/
Cannibal_Corpse,http://cannibalcorpse.net/
Cathedral,http://www.cathedralcoven.com/
Celtic_Frost,http://www.celticfrost.com/
Children_Of_Bodom,http://www.cobhc.com/
The_Clash,http://www.theclash.com/
Circle_Jerks,http://www.circlejerks.net/
Converge,http://www.convergecult.com/
Cripple_Bastards,http://www.cripple-bastards.com/
Crowbar,http://www.crowbarnola.com/
Cryptopsy,http://www.cryptopsy.ca/
Cynic,http://cyniconline.com/
Darkthrone,http://www.darkthrone.no/
Dead_Kennedys,http://www.deadkennedys.com/
Death,http://metalcrusade.org/
Decapitated,http://www.decapitatedband.net/
Deep_Purple,http://deep-purple.com/
Destruction,http://www.destruction.de/
Diamond_Head,http://www.diamond-head.net/
Dio,http://www.ronniejamesdio.com/
Disturbed,http://www.disturbed1.com/
Dying_Fetus,http://www.dyingfetus.com/
Earth,http://thronesanddominions.com/
Electric_Wizard,http://www.electricfuckinwizard.com/
Exodus,http://www.exodusattack.com/
Extreme_Noise_Terror,http://www.extremenoiseterror.co.uk/
Eyehategod,http://eyehategod.ee/
Fear_Factory,http://www.fearfactory.com/
Gorgoroth,http://www.gorgoroth.info/
Gorguts,http://www.gorguts.com/
Gwar,http://www.gwar.net/
Hatebreed,http://www.hatebreed.com/
Hellbastard,http://www.hellbastard.co.uk/
Hate_Eternal,http://www.hateeternal.com/
Hellhammer,http://www.hellhammer.org/
Immolation,http://www.everlastingfire.com/
Iron_Maiden,http://ironmaiden.com/
Judas_Priest,http://judaspriest.com/
Jungle_Rot,http://www.jungle-rot.com/
Kamelot,http://kamelot.com/
King_Diamond,http://www.kingdiamondcoven.com/
Korn,http://korn.com/
Kreator,http://kreator-terrorzone.de/
Lamb_of_God,http://www.lamb-of-god.com/
Led_Zeppelin,http://ledzeppelin.com/
Mayhem,http://www.thetruemayhem.com/
Megadeth,http://www.megadeth.com/
Melvins,http://melvins.com/
Meshuggah,http://www.meshuggah.net/
Metallica,https://metallica.com/
Ministry,http://www.aljourgensen.com/
Morbid_Angel,http://www.morbidangel.com/
Motley_Crue,http://www.motley.com/
Motorhead,http://imotorhead.com/
Mountain,http://www.mountainrockband.com/
Napalm_Death,http://napalmdeath.org/
Nasum,http://www.nasum.com/
Necrophagist,http://www.necrophagist.de/
Neuraxis,http://www.neuraxis.org/
Neurosis,http://neurosis.com/
Nightwish,http://nightwish.com/
Nile,http://www.nile-catacombs.net/
Nine_Inch_Nails,http://www.nin.com/
NOFX,http://www.nofxofficialwebsite.com/
Obituary,http://www.obituary.cc/
Opeth,http://opeth.com/
Over_Kill,http://www.wreckingcrew.com/
Ozzy_Osbourne,http://www.ozzy.com/
Pantera,http://pantera.com/
Pestilence,http://pestilence.nl/
Poison,http://poisonweb.com/
Queensryche,http://www.queensrycheofficial.com/
Ramones,http://www.ramones.com/
Rancid,http://rancidrancid.com/
Raven,http://www.ravenlunatics.com/
Repulsion,http://www.repulsion.net/
Rob_Zombie,http://robzombie.com/
Saint_Vitus,http://www.saintvitusband.com/
Saxon,http://www.saxon747.com/
Scorpions,http://the-scorpions.com/
Sepultura,http://www.sepultura.com.br/
Sex_Pistols,http://www.sexpistolsofficial.com/
Slayer,http://www.slayer.net/
Sleep,http://weedian.com/
Social_Distortion,http://www.socialdistortion.com/
Sodom,http://www.sodomized.info/
Soundgarden,http://www.soundgardenworld.com/
The_Stooges,http://www.iggyandthestoogesmusic.com/
Suicidal_Tendencies,http://www.suicidaltendencies.com/
Sunn_O))),http://sunn.southernlord.com/
Terrorizer,http://www.terrorizergrindcore.net/
Testament,http://www.testamentlegions.com/
Tool,https://www.toolband.com/
Twisted_Sister,http://www.twistedsister.com/
Type_O_Negative,http://www.typeonegative.net/
Vader,http://www.vader.pl/
Van_Halen,http://van-halen.com/
Venom,http://www.venomslegions.com/
White_Snake,http://www.whitesnake.com/